date,total_usd_volume,total_token_volume,net_pnl,avg_exec_price,total_fees,buy_ratio,value,classification
2025-01-04,704445.1900000001,922157.5379400001,-2202.6622420000003,11425.36599246875,162.93599482,0.4791666666666667,73,Greed
2025-01-05,10720240.52,101855.22113,54536.829297000004,12672.104182341463,2652.6136779658,0.5577235772357724,72,Greed
2025-02-01,774674.84,398599.55802,8716.519087,10094.891613861495,176.13969323,0.296398891966759,68,Greed
2025-02-02,5661092.29,2856407.23053,162854.759623,5409.088864621683,1184.12208921,0.6315390447308568,60,Greed
2025-02-03,6460848.74,256166.66921,66914.320708,9371.077831221804,1931.69694201,0.5150375939849624,44,Fear
2025-02-04,3867930.6,3768092.12272,202212.740938,7414.856134767658,1181.2230379,0.11895910780669144,72,Greed
2025-03-01,771208.99,380142.44466,6028.486793,9803.075828159448,210.99783681,0.33267716535433073,20,Extreme Fear
2025-03-02,22592901.37,12993753.49954967,348871.326269,4859.416197735714,2991.56562406,0.4584033613445378,26,Fear
2025-03-03,8244590.38,1215235.7347,616413.032233,3500.2799614203777,1040.56404242,0.7213225371120108,33,Fear
2025-03-04,8670233.15,5323868.72889,-2365.961276,4420.623526697368,1337.1188527,0.5469107551487414,15,Extreme Fear
2025-04-01,1826029.6199999999,195756.23854,2553.537968,7797.149899172507,233.711971,0.20485175202156333,34,Fear
2025-04-02,15678409.27,1144231.01994,416876.88812,15703.124947818073,3853.77856394,0.455015923566879,44,Fear
2025-04-03,11124247.15,949350.55796,182075.566585,2545.786879941715,2220.33648528,0.7277268942547876,25,Fear
2025-04-04,3835545.73,1425479.21115,-25515.678949999998,4732.811766900943,836.063409361,0.3922955974842767,28,Fear
2025-05-01,451943.57,260134.01253,3187.719363,7824.165539405858,139.34161097,0.2719665271966527,53,Neutral
2025-05-02,8743231.51,1176756.31614,56706.235562,21926.164488164224,1335.74961667,0.5312259059367772,67,Greed
